city,lat,lon,region
Paris,48.8534951,2.3483915,Île-de-France
Lyon,45.7578137,4.8320114,Auvergne-Rhône-Alpes
Marseille,43.2961743,5.3699525,Provence-Alpes-Côte d'Azur
Lille,50.6365654,3.0635282,Hauts-de-France
Bordeaux,44.841225,-0.5800364,Nouvelle-Aquitaine
Toulouse,43.6044638,1.4442433,Occitanie
Nice,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur
Nantes,47.2186371,-1.5541362,Pays de la Loire
Strasbourg,48.584614,7.7507127,Grand Est
Montpellier,43.6112422,3.8767337,Occitanie
Rennes,48.1113387,-1.6800198,Bretagne
Reims,49.2577886,4.031926,Grand Est
Le Havre,49.4938975,0.1079732,Normandie
Saint-Étienne,45.4401467,4.3873058,Auvergne-Rhône-Alpes
Toulon,43.1257311,5.9304919,Provence-Alpes-Côte d'Azur
Grenoble,45.1875602,5.7357819,Auvergne-Rhône-Alpes
Dijon,47.3215806,5.0414701,Bourgogne-Franche-Comté
Angers,47.4739884,-0.5515588,Pays de la Loire
Nîmes,43.8374249,4.3600687,Occitanie
Villeurbanne,45.7733573,4.8868454,Auvergne-Rhône-Alpes
Clermont-Ferrand,45.7774551,3.0819427,Auvergne-Rhône-Alpes
Le Mans,48.0073849,0.1967849,Pays de la Loire
Aix-en-Provence,43.5298424,5.4474738,Provence-Alpes-Côte d'Azur
Brest,48.3905283,-4.4860088,Bretagne
Tours,47.3900474,0.6889268,Centre-Val de Loire
Amiens,49.8941708,2.2956951,Hauts-de-France
Limoges,45.8354243,1.2644847,Nouvelle-Aquitaine
Annecy,45.8992348,6.1288847,Auvergne-Rhône-Alpes
Perpignan,42.6985304,2.8953121,Occitanie
Besançon,47.2380222,6.0243622,Bourgogne-Franche-Comté
Metz,49.1196964,6.1763552,Grand Est
Nancy,48.6937223,6.1834097,Grand Est
Avignon,43.9492493,4.8059012,Provence-Alpes-Côte d'Azur
La Rochelle,46.159732,-1.1515951,Nouvelle-Aquitaine
Pau,43.2957547,-0.3685668,Nouvelle-Aquitaine
Bayonne,43.4945144,-1.4736657,Nouvelle-Aquitaine
Albi,43.9277552,2.147899,Occitanie
Rodez,44.3511408,2.5728493,Occitanie
Cahors,44.4495,1.4364999,Occitanie
Montauban,44.0175835,1.3549991,Occitanie
Agen,44.2015827,0.6176112,Nouvelle-Aquitaine
Auch,43.6463558,0.5850507,Occitanie
Foix,42.9638998,1.6053807,Occitanie
Carcassonne,43.2130358,2.3491069,Occitanie
Narbonne,43.1837757,3.0041906,Occitanie
Béziers,43.3426562,3.2131307,Occitanie
Sète,43.4014434,3.6959771,Occitanie
Mende,44.5180226,3.4991057,Occitanie
Millau,44.1006693,3.0777594,Occitanie
Brive-la-Gaillarde,45.1584982,1.5332389,Nouvelle-Aquitaine
Tarbes,43.232858,0.0781021,Occitanie
Saint-Gaudens,43.1077682,0.7247218,Occitanie
Agde,43.3124696,3.4707789,Occitanie
Narbonne-Plage,43.160018,3.1644041,Occitanie
Poitiers,46.5802596,0.340196,Nouvelle-Aquitaine
Niort,46.3239233,-0.4646064,Nouvelle-Aquitaine
La Roche-sur-Yon,46.6705431,-1.4269698,Pays de la Loire
Angoulême,45.6484505,0.1561947,Nouvelle-Aquitaine
Périgueux,45.1840214,0.7160392,Nouvelle-Aquitaine
Bergerac,44.8534568,0.487531,Nouvelle-Aquitaine
Libourne,44.9133742,-0.2427217,Nouvelle-Aquitaine
Arcachon,44.6616428,-1.1700018,Nouvelle-Aquitaine
Dax,43.7084065,-1.0518771,Nouvelle-Aquitaine
Mont-de-Marsan,43.8911318,-0.500972,Nouvelle-Aquitaine
Saint-Jean-de-Luz,43.387219,-1.6636947,Nouvelle-Aquitaine
Aurillac,44.9285441,2.4433101,Auvergne-Rhône-Alpes
Saint-Flour,45.7084425,3.5026164,Auvergne-Rhône-Alpes
Issoire,45.5432962,3.2501874,Auvergne-Rhône-Alpes
Montluçon,46.3400296,2.6073963,Auvergne-Rhône-Alpes
Moulins,46.5660526,3.3331703,Auvergne-Rhône-Alpes
Nevers,46.9876601,3.1577203,Bourgogne-Franche-Comté
Bourges,47.0811658,2.399125,Centre-Val de Loire
Châteauroux,46.8203785,1.6770956,Centre-Val de Loire
Vierzon,47.2217489,2.0691421,Centre-Val de Loire
Chartres,48.4438601,1.4881434,Centre-Val de Loire
Orléans,47.9027336,1.9086066,Centre-Val de Loire
Blois,47.5876861,1.3337639,Centre-Val de Loire
Montargis,47.9978628,2.7310072,Centre-Val de Loire
Riom,45.893012,3.1140583,Auvergne-Rhône-Alpes
Le Puy-en-Velay,45.0459739,3.8855537,Auvergne-Rhône-Alpes
Troyes,48.2971626,4.0746257,Grand Est
Chaumont,48.1111324,5.1395849,Grand Est
Langres,47.8639612,5.333947,Grand Est
Vesoul,47.6197395,6.1544694,Bourgogne-Franche-Comté
Belfort,47.6379599,6.8628942,Bourgogne-Franche-Comté
Mulhouse,47.7467233,7.3389937,Grand Est
Colmar,48.0777517,7.3579641,Grand Est
Haguenau,48.8172236,7.7885978,Grand Est
Saverne,48.7419909,7.3625953,Grand Est
Forbach,49.1862822,6.8958562,Grand Est
Thionville,49.3579272,6.1675872,Grand Est
Verdun,49.1589278,5.3867277,Grand Est
Bar-le-Duc,48.7712673,5.1623805,Grand Est
Épinal,48.1747684,6.4503643,Grand Est
Saint-Dié-des-Vosges,48.2873153,6.9477708,Grand Est
Auxerre,47.7961287,3.570579,Bourgogne-Franche-Comté
Sens,48.1978559,3.282606,Bourgogne-Franche-Comté
Dole,47.0921047,5.4925463,Bourgogne-Franche-Comté
Lons-le-Saunier,46.6727037,5.5589973,Bourgogne-Franche-Comté
Saint-Claude,46.3874699,5.8643866,Bourgogne-Franche-Comté
Oyonnax,46.2575174,5.6556181,Auvergne-Rhône-Alpes
Bourg-en-Bresse,46.2051192,5.2250324,Auvergne-Rhône-Alpes
Autun,46.9510313,4.2989478,Bourgogne-Franche-Comté
Beaune,47.0239064,4.8380426,Bourgogne-Franche-Comté
Villefranche-sur-Saône,45.9864749,4.726611,Auvergne-Rhône-Alpes
Roanne,46.0345572,4.0729178,Auvergne-Rhône-Alpes
Montbrison,45.6072875,4.0627318,Auvergne-Rhône-Alpes
Annonay,45.2399639,4.6675475,Auvergne-Rhône-Alpes
Valence,44.9332277,4.8920811,Auvergne-Rhône-Alpes
Montélimar,44.5579391,4.750318,Auvergne-Rhône-Alpes
Romans-sur-Isère,45.0458886,5.0528681,Auvergne-Rhône-Alpes
Bollène,44.2803882,4.7484092,Provence-Alpes-Côte d'Azur
Gap,44.5612032,6.0820639,Provence-Alpes-Côte d'Azur
Briançon,44.8984037,6.6436313,Provence-Alpes-Côte d'Azur
Digne-les-Bains,44.0917585,6.2346362,Provence-Alpes-Côte d'Azur
Sisteron,44.1963467,5.9443791,Provence-Alpes-Côte d'Azur
Manosque,43.8338026,5.7826657,Provence-Alpes-Côte d'Azur
Draguignan,43.5374662,6.4627333,Provence-Alpes-Côte d'Azur
Fréjus,43.4330308,6.7360182,Provence-Alpes-Côte d'Azur
Grasse,43.6589011,6.9239103,Provence-Alpes-Côte d'Azur
Cannes,43.5515198,7.0134418,Provence-Alpes-Côte d'Azur
Antibes,43.5813878,7.1236966,Provence-Alpes-Côte d'Azur
Menton,43.7753495,7.5029213,Provence-Alpes-Côte d'Azur
Hyères,43.1202573,6.1301614,Provence-Alpes-Côte d'Azur
Orange,44.1371311,4.8078783,Provence-Alpes-Côte d'Azur
Carpentras,44.0554043,5.0487681,Provence-Alpes-Côte d'Azur
Uzès,44.0121279,4.4196718,Occitanie
Arras,50.291048,2.7772211,Hauts-de-France
Lens,50.4291723,2.8319805,Hauts-de-France
Douai,50.3675677,3.0804641,Hauts-de-France
Valenciennes,50.3579317,3.5234846,Hauts-de-France
Calais,50.9524769,1.8538446,Hauts-de-France
Boulogne-sur-Mer,50.7259985,1.6118771,Hauts-de-France
Saint-Malo,48.649518,-2.0260409,Bretagne
Lorient,47.7477336,-3.3660907,Bretagne
Vannes,47.6586772,-2.7599079,Bretagne
Quimper,47.9960325,-4.1024782,Bretagne
Morlaix,48.5824932,-3.8331972,Bretagne
Saint-Brieuc,48.5141134,-2.7603283,Bretagne
Rouen,49.4404591,1.0939658,Normandie
Évreux,49.0268903,1.1510164,Normandie
Caen,49.1813403,-0.3635615,Normandie
Cherbourg-en-Cotentin,49.6425343,-1.6249565,Normandie
Versailles,48.8035403,2.1266886,Île-de-France
Nanterre,48.8924273,2.2071267,Île-de-France
Créteil,48.7771486,2.4530731,Île-de-France
Évry-Courcouronnes,48.629966,2.4381816,Île-de-France
Melun,48.539927,2.6608169,France métropolitaine
Meaux,48.9582708,2.8773541,Île-de-France
Cergy,49.0527528,2.0388736,Île-de-France
Laval,48.0706687,-0.7734022,Pays de la Loire
Mayenne,48.1507819,-0.6491274,Pays de la Loire
Alençon,48.4312059,0.0911374,Normandie
Flers,50.32053,2.25255,Hauts-de-France
