from_city,to_city
Nantes,Poitiers
Clermont-Ferrand,Annonay
Sens,Bordeaux
Avignon,Mende
Tours,Chartres
Melun,Bordeaux
Vierzon,Marseille
Saint-Dié-des-Vosges,Lille
Orange,Lyon
Nice,Briançon
Lons-le-Saunier,Lyon
Poitiers,Paris
Chartres,Lille
Issoire,Lille
Arcachon,Lyon
Besançon,Lyon
Montluçon,Autun
Uzès,Annonay
Bourg-en-Bresse,Dijon
Béziers,Uzès
Caen,Bordeaux
Poitiers,Lille
Vierzon,Lyon
Digne-les-Bains,Bollène
Évry-Courcouronnes,Marseille
Le Havre,Cherbourg-en-Cotentin
Châteauroux,Marseille
Romans-sur-Isère,Annecy
Bourg-en-Bresse,Bordeaux
Sisteron,Montpellier
Aurillac,Montauban
Clermont-Ferrand,Brive-la-Gaillarde
Limoges,Niort
Montpellier,Rodez
Vannes,Brest
Saint-Brieuc,Cherbourg-en-Cotentin
Carpentras,Bordeaux
Caen,Laval
Marseille,Montpellier
Lens,Rouen
Évry-Courcouronnes,Blois
Évry-Courcouronnes,Lyon
Rouen,Meaux
Brest,Paris
Châteauroux,Lyon
Vannes,Marseille
Saint-Étienne,Oyonnax
Gap,Fréjus
Haguenau,Épinal
Niort,Bordeaux
Grenoble,Saint-Claude
Cahors,Saint-Gaudens
Évreux,Marseille
La Rochelle,Poitiers
Dax,Montauban
Le Puy-en-Velay,Uzès
Bourg-en-Bresse,Le Puy-en-Velay
Bordeaux,Niort
Valence,Paris
Vannes,Lyon
Verdun,Troyes
Saint-Gaudens,Agen
Reims,Nanterre
Autun,Oyonnax
Rouen,Alençon
Uzès,Paris
Mende,Saint-Flour
Narbonne,Rodez
Rennes,Paris
Valence,Lille
Montargis,Bordeaux
Valence,Roanne
Montauban,Brive-la-Gaillarde
Bordeaux,Bayonne
Metz,Haguenau
Bayonne,Saint-Gaudens
Nîmes,Paris
Auxerre,Orléans
Vannes,Angers
Metz,Chaumont
Nice,Marseille
Rennes,Lille
Périgueux,Auch
Orléans,Flers
Montélimar,Marseille
