Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Type de place;Prix minimum;Prix maximum
Intercités de jour à réservation obligatoire;AGEN;87586008;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;assise;19.0;55.0
Intercités de jour à réservation obligatoire;AGEN;87586008;BORDEAUX ST JEAN;87581009;2;Tarif Normal;assise;12.0;29.0
Intercités de jour à réservation obligatoire;ARGENTON SUR CREUSE;87597120;LA SOUTERRAINE;87592378;2;Tarif Normal;assise;7.2;14.0
Intercités de jour à réservation obligatoire;AGEN;87586008;NARBONNE;87781104;2;Tarif Normal;assise;15.0;45.0
Intercités de jour à réservation obligatoire;AGEN;87586008;CARCASSONNE;87615286;2;Tarif Normal;assise;15.0;45.0
Intercités de jour à réservation obligatoire;ARGENTON SUR CREUSE;87597120;PARIS BERCY;87686667;2;Tarif Normal;assise;15.0;48.0
Intercités de jour à réservation obligatoire;AGEN;87586008;SETE;87773200;2;Tarif Normal;assise;19.0;55.0
Intercités de jour à réservation obligatoire;AGEN;87586008;MARMANDE;87586545;2;Tarif Normal;assise;9.0;19.0
Intercités de jour à réservation obligatoire;ARGENTON SUR CREUSE;87597120;VIERZON VILLE;87576009;2;Tarif Normal;assise;10.8;20.5
Intercités de jour à réservation obligatoire;ARGENTON SUR CREUSE;87597120;CAHORS;87613000;2;Tarif Normal;assise;15.0;52.0
Intercités de jour à réservation obligatoire;AGEN;87586008;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;assise;19.0;85.0
Intercités de jour à réservation obligatoire;ARLES;87753657;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;assise;9.0;19.0
Intercités de jour à réservation obligatoire;ARLES;87753657;NARBONNE;87781104;2;Tarif Normal;assise;12.0;35.0
Intercités de jour à réservation obligatoire;AGEN;87586008;NIMES;87775007;2;Tarif Normal;assise;19.0;70.0
Intercités de jour à réservation obligatoire;ARLES;87753657;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Normal;assise;9.0;19.0
Intercités de jour à réservation obligatoire;BEZIERS;87781005;SETE;87773200;2;Tarif Normal;assise;7.0;15.0
Intercités de jour à réservation obligatoire;ARGENTON SUR CREUSE;87597120;CAUSSADE TARN ET GARONNE;87613356;2;Tarif Normal;assise;15.0;56.0
Intercités de jour à réservation obligatoire;BEZIERS;87781005;CARCASSONNE;87615286;2;Tarif Normal;assise;9.0;19.0
Intercités de jour à réservation obligatoire;BORDEAUX ST JEAN;87581009;MARMANDE;87586545;2;Tarif Normal;assise;9.0;19.0
