make,model,fuel_type,vehicle_category,seats,co2_g_km
Toyota,Prius Hybrid,Hybrid,Sedan,5,94
Toyota,Corolla Hybrid,Hybrid,Sedan,5,86
Toyota,Camry Hybrid,Hybrid,Sedan,5,119
Toyota,Yaris Hybrid,Hybrid,Compact,5,87
Toyota,C-HR Hybrid,Hybrid,SUV,5,110
Hyundai,Ioniq Hybrid,Hybrid,Sedan,5,79
Hyundai,Kona Hybrid,Hybrid,SUV,5,104
Hyundai,Ioniq Electric,Electric,Sedan,5,0
Kia,Niro Hybrid,Hybrid,SUV,5,102
Kia,Niro EV,Electric,SUV,5,0
Tesla,Model 3,Electric,Sedan,5,0
Tesla,Model Y,Electric,SUV,5,0
Renault,Clio Diesel,Diesel,Compact,5,82
Renault,Clio E-Tech Hybrid,Hybrid,Compact,5,92
Renault,Zoe,Electric,Compact,5,0
Renault,Megane Diesel,Diesel,Compact,5,110
Peugeot,208 Diesel,Diesel,Compact,5,95
Peugeot,308 Diesel,Diesel,Compact,5,115
Peugeot,508 Diesel,Diesel,Sedan,5,120
Peugeot,e-208,Electric,Compact,5,0
Citroen,C4 Diesel,Diesel,Compact,5,110
Citroen,e-C4,Electric,Compact,5,0
Skoda,Octavia Diesel,Diesel,Sedan,5,110
Skoda,Superb Diesel,Diesel,Sedan,5,120
Skoda,Enyaq,Electric,SUV,5,0
Volkswagen,Golf Diesel,Diesel,Compact,5,110
Volkswagen,Passat Diesel,Diesel,Sedan,5,120
Volkswagen,ID.3,Electric,Compact,5,0
Volkswagen,ID.4,Electric,SUV,5,0
Ford,Focus Diesel,Diesel,Compact,5,105
Ford,Mondeo Hybrid,Hybrid,Sedan,5,98
Ford,Mustang Mach-E,Electric,SUV,5,0
BMW,320d Diesel,Diesel,Sedan,5,119
BMW,i3,Electric,Compact,4,0
Mercedes,C-Class Diesel,Diesel,Sedan,5,120
Mercedes,E-Class Diesel,Diesel,Sedan,5,130
Mercedes,EQA,Electric,SUV,5,0
Nissan,Leaf,Electric,Compact,5,0
Dacia,Logan Diesel,Diesel,Sedan,5,95
Dacia,Sandero Diesel,Diesel,Compact,5,90
